scope,seq,group,source_folder,ordinal,member,neutral_file,top,path,status,result,verification_mode,notes
offset55_ordinals56_60,1,1,one_shot_percussive_sounds/1,56,one_shot_percussive_sounds/1/13751.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00056.wav,Drums,Drums/Toms/Floor Tom/One Shots,final_measured_drum_one_shot_invariant,PASS,slice_csv_current_patch,
offset55_ordinals56_60,2,1,one_shot_percussive_sounds/1,57,one_shot_percussive_sounds/1/13752.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00057.wav,Drums,Drums/Snares/Acoustic Snare/One Shots,final_weak_review_measured_drums_release,PASS,slice_csv_current_patch,
offset55_ordinals56_60,3,1,one_shot_percussive_sounds/1,58,one_shot_percussive_sounds/1/13856.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00058.wav,Drums,Drums/Percussion/Bells and Metallic Percussion/One Shots,final_decisive_struck_percussion_parent_invariant,PASS,slice_csv_current_patch,
offset55_ordinals56_60,4,1,one_shot_percussive_sounds/1,59,one_shot_percussive_sounds/1/13857.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00059.wav,Drums,Drums/Kick Drums/Generic Kick/One Shots,final_measured_kick_one_shot_invariant,PASS,slice_csv_current_patch,
offset55_ordinals56_60,5,1,one_shot_percussive_sounds/1,60,one_shot_percussive_sounds/1/13863.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00060.wav,Drums,Drums/Toms/Generic Tom/One Shots,strong_consensus,PASS,slice_csv_current_patch,
offset55_ordinals56_60,6,2,one_shot_percussive_sounds/2,56,one_shot_percussive_sounds/2/101450.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00056.wav,Drums,Drums/Toms/Generic Tom/One Shots,final_protected_percussive_parent_release,PASS,slice_csv_current_patch,
offset55_ordinals56_60,7,2,one_shot_percussive_sounds/2,57,one_shot_percussive_sounds/2/101451.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00057.wav,Drums,Drums/Toms/Generic Tom/One Shots,final_protected_percussive_parent_release,PASS,slice_csv_current_patch,
offset55_ordinals56_60,8,2,one_shot_percussive_sounds/2,58,one_shot_percussive_sounds/2/101452.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00058.wav,Drums,Drums/Toms/Generic Tom/One Shots,final_protected_percussive_parent_release,PASS,slice_csv_current_patch,
offset55_ordinals56_60,9,2,one_shot_percussive_sounds/2,59,one_shot_percussive_sounds/2/102130.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00059.wav,Drums,Drums/Kick Drums/Generic Kick/One Shots,direct_path_only_current_patch,PASS,direct_single_file_current_patch,direct one-file rerun; status not printed
offset55_ordinals56_60,10,2,one_shot_percussive_sounds/2,60,one_shot_percussive_sounds/2/102177.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00060.wav,Drums,Drums/Kick Drums/Generic Kick/One Shots,direct_path_only_current_patch,PASS,direct_single_file_current_patch,direct one-file rerun; status not printed
