seq,group,folder,ordinal,member,neutral_file,path,top,ok_broad,review,instrument_steal,status,final_source,shape,raw_consensus,raw_family,seconds,error,verification_note,third_party_enabled_rerun
1,1,one_shot_percussive_sounds/1,71,one_shot_percussive_sounds/1/13890.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00071.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,strong_consensus,,single_hit,,,1.47,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
2,1,one_shot_percussive_sounds/1,72,one_shot_percussive_sounds/1/13891.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00072.wav,Drums/Percussion/Generic Percussion/One Shots,Drums,True,False,False,percussive_one_shot_parent_firewall,,single_hit,,,1.48,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
3,1,one_shot_percussive_sounds/1,73,one_shot_percussive_sounds/1/13892.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00073.wav,Drums/Percussion/Bells and Metallic Percussion/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,single_hit,,,1.38,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
4,1,one_shot_percussive_sounds/1,74,one_shot_percussive_sounds/1/13893.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00074.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,1.38,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
5,1,one_shot_percussive_sounds/1,75,one_shot_percussive_sounds/1/13894.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00075.wav,Drums/Rims and Sticks/Rimshot/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,1.4,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
6,2,one_shot_percussive_sounds/2,71,one_shot_percussive_sounds/2/102788.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00071.wav,Drums/Percussion/Guiros Scrapes and Rasps/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,texture_bed,,,1.46,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
7,2,one_shot_percussive_sounds/2,72,one_shot_percussive_sounds/2/102789.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00072.wav,Drums/Snares/Generic Snare/One Shots,Drums,True,False,False,final_decisive_struck_percussion_parent_invariant,,texture_bed,,,0.59,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
8,2,one_shot_percussive_sounds/2,73,one_shot_percussive_sounds/2/102790.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00073.wav,Drums/Claps Snaps Slaps/Generic Clap/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,1.4,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
9,2,one_shot_percussive_sounds/2,74,one_shot_percussive_sounds/2/102791.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00074.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,hit_with_tail,,,1.38,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
10,2,one_shot_percussive_sounds/2,75,one_shot_percussive_sounds/2/102792.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00075.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,hit_with_tail,,,1.38,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
11,3,one_shot_percussive_sounds/3,71,one_shot_percussive_sounds/3/143510.wav,/mnt/data/perc_v31169_run3/neutral_extract/g03/neutral_g03_00071.wav,Drums/Snares/Generic Snare/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.29,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
