seq,group,folder,ordinal,member,neutral_file,path,top,ok_broad,review,instrument_steal,status,final_source,shape,raw_consensus,raw_family,seconds,error,source_results_file,verification_mode
1,1,one_shot_percussive_sounds/1,111,one_shot_percussive_sounds/1/14063.wav,/mnt/data/perc_v31171/neutral_extract/g01/neutral_g01_00111.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,1.78,,results_offset110_pf5.csv,bulk_disabled_third_party
2,1,one_shot_percussive_sounds/1,112,one_shot_percussive_sounds/1/14065.wav,/mnt/data/perc_v31171/neutral_extract/g01/neutral_g01_00112.wav,Drums/Percussion/Generic Percussion/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,single_hit,,,1.87,,results_offset110_pf5.csv,bulk_disabled_third_party
3,1,one_shot_percussive_sounds/1,113,one_shot_percussive_sounds/1/14067.wav,/mnt/data/perc_v31171/neutral_extract/g01/neutral_g01_00113.wav,Drums/Rims and Sticks/Generic Rim or Stick/One Shots,Drums,True,False,False,strong_consensus,,single_hit,,,1.69,,results_offset110_pf5.csv,bulk_disabled_third_party
4,1,one_shot_percussive_sounds/1,114,one_shot_percussive_sounds/1/14071.wav,/mnt/data/perc_v31171/neutral_extract/g01/neutral_g01_00114.wav,Drums/Toms/Floor Tom/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,1.77,,results_offset110_pf5.csv,bulk_disabled_third_party
5,1,one_shot_percussive_sounds/1,115,one_shot_percussive_sounds/1/14077.wav,/mnt/data/perc_v31171/neutral_extract/g01/neutral_g01_00115.wav,Drums/Percussion/Generic Percussion/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,texture_bed,,,0.85,,results_offset110_pf5.csv,bulk_disabled_third_party
6,2,one_shot_percussive_sounds/2,111,one_shot_percussive_sounds/2/104244.wav,/mnt/data/perc_v31171/neutral_extract/g02/neutral_g02_00111.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_decisive_struck_percussion_parent_invariant,,bass_phrase,,,2.08,,results_offset110_pf5.csv,bulk_disabled_third_party
7,2,one_shot_percussive_sounds/2,112,one_shot_percussive_sounds/2/104245.wav,/mnt/data/perc_v31171/neutral_extract/g02/neutral_g02_00112.wav,Drums/Claps Snaps Slaps/Generic Clap/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,1.96,,results_offset110_pf5.csv,bulk_disabled_third_party
8,2,one_shot_percussive_sounds/2,113,one_shot_percussive_sounds/2/104246.wav,/mnt/data/perc_v31171/neutral_extract/g02/neutral_g02_00113.wav,Drums/Rims and Sticks/Rimshot/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,2.11,,results_offset110_pf5.csv,bulk_disabled_third_party
9,2,one_shot_percussive_sounds/2,114,one_shot_percussive_sounds/2/104247.wav,/mnt/data/perc_v31171/neutral_extract/g02/neutral_g02_00114.wav,Drums/Snares/Generic Snare/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,single_hit,,,2.39,,results_offset110_pf5.csv,bulk_disabled_third_party
10,2,one_shot_percussive_sounds/2,115,one_shot_percussive_sounds/2/104248.wav,/mnt/data/perc_v31171/neutral_extract/g02/neutral_g02_00115.wav,Drums/Claps Snaps Slaps/Generic Clap/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,1.79,,results_offset110_pf5.csv,bulk_disabled_third_party
11,3,one_shot_percussive_sounds/3,111,one_shot_percussive_sounds/3/143667.wav,/mnt/data/perc_v31171/neutral_extract/g03/neutral_g03_00111.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,1.96,,results_offset110_pf5.csv,bulk_disabled_third_party
