seq,group,folder,ordinal,member,neutral_file,path,top,ok_broad,review,instrument_steal,status,final_source,shape,raw_consensus,raw_family,seconds,error,verified_with_third_party_enabled,acceptance_status,correction_note
1,1,one_shot_percussive_sounds/1,151,one_shot_percussive_sounds/1/15579.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00151.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,single_hit,,,0.66,,,PASS,
2,1,one_shot_percussive_sounds/1,152,one_shot_percussive_sounds/1/15580.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00152.wav,Drums/Rims and Sticks/Rimshot/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.64,,,PASS,
3,1,one_shot_percussive_sounds/1,153,one_shot_percussive_sounds/1/15582.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00153.wav,Drums/Percussion/Guiros Scrapes and Rasps/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,texture_bed,,,0.72,,True,PASS,rerun individually with third-party enabled after low-level patch
4,1,one_shot_percussive_sounds/1,154,one_shot_percussive_sounds/1/15583.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00154.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.7,,,PASS,
5,1,one_shot_percussive_sounds/1,155,one_shot_percussive_sounds/1/15584.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00155.wav,Drums/Rims and Sticks/Generic Rim or Stick/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,solo_phrase,,,0.7,,,PASS,
6,2,one_shot_percussive_sounds/2,151,one_shot_percussive_sounds/2/105513.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00151.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.71,,,PASS,
7,2,one_shot_percussive_sounds/2,152,one_shot_percussive_sounds/2/105514.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00152.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.74,,,PASS,
8,2,one_shot_percussive_sounds/2,153,one_shot_percussive_sounds/2/105515.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00153.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.72,,,PASS,
9,2,one_shot_percussive_sounds/2,154,one_shot_percussive_sounds/2/105517.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00154.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.72,,,PASS,
10,2,one_shot_percussive_sounds/2,155,one_shot_percussive_sounds/2/105525.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00155.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.71,,,PASS,
11,3,one_shot_percussive_sounds/3,151,one_shot_percussive_sounds/3/143731.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00151.wav,Drums/Claps Snaps Slaps/Generic Clap/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.71,,,PASS,
12,3,one_shot_percussive_sounds/3,152,one_shot_percussive_sounds/3/143732.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00152.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.72,,,PASS,
13,3,one_shot_percussive_sounds/3,153,one_shot_percussive_sounds/3/143733.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00153.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.71,,,PASS,
14,3,one_shot_percussive_sounds/3,154,one_shot_percussive_sounds/3/143734.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00154.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.7,,,PASS,
15,3,one_shot_percussive_sounds/3,155,one_shot_percussive_sounds/3/143735.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00155.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.7,,,PASS,
16,4,one_shot_percussive_sounds/4,151,one_shot_percussive_sounds/4/208254.wav,/mnt/data/perc_system_run/neutral_extract/g04/neutral_g04_00151.wav,Drums/Rims and Sticks/Rimshot/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.64,,,PASS,
17,4,one_shot_percussive_sounds/4,152,one_shot_percussive_sounds/4/208255.wav,/mnt/data/perc_system_run/neutral_extract/g04/neutral_g04_00152.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,hit_with_tail,,,0.69,,,PASS,
18,4,one_shot_percussive_sounds/4,153,one_shot_percussive_sounds/4/208256.wav,/mnt/data/perc_system_run/neutral_extract/g04/neutral_g04_00153.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.68,,,PASS,
19,4,one_shot_percussive_sounds/4,154,one_shot_percussive_sounds/4/208257.wav,/mnt/data/perc_system_run/neutral_extract/g04/neutral_g04_00154.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,single_hit,,,0.68,,,PASS,
20,4,one_shot_percussive_sounds/4,155,one_shot_percussive_sounds/4/208258.wav,/mnt/data/perc_system_run/neutral_extract/g04/neutral_g04_00155.wav,Drums/World Percussion/Indian Percussion/Tabla/One Shots,Drums,True,False,False,percussive_one_shot_parent_firewall,,bass_phrase,,,0.76,,,PASS,
21,5,one_shot_percussive_sounds/5,151,one_shot_percussive_sounds/5/439829.wav,/mnt/data/perc_system_run/neutral_extract/g05/neutral_g05_00151.wav,Drums/Rims and Sticks/Generic Rim or Stick/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,solo_phrase,,,0.67,,,PASS,
22,5,one_shot_percussive_sounds/5,152,one_shot_percussive_sounds/5/439835.wav,/mnt/data/perc_system_run/neutral_extract/g05/neutral_g05_00152.wav,Drums/Percussion/Guiros Scrapes and Rasps/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,texture_bed,,,0.75,,True,PASS,rerun individually with third-party enabled after low-level patch
23,5,one_shot_percussive_sounds/5,153,one_shot_percussive_sounds/5/439836.wav,/mnt/data/perc_system_run/neutral_extract/g05/neutral_g05_00153.wav,Drums/Percussion/Guiros Scrapes and Rasps/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,echo_tail_hit,,,0.33,,,PASS,
24,5,one_shot_percussive_sounds/5,154,one_shot_percussive_sounds/5/439837.wav,/mnt/data/perc_system_run/neutral_extract/g05/neutral_g05_00154.wav,Drums/Percussion/Guiros Scrapes and Rasps/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,texture_bed,,,0.3,,,PASS,
25,5,one_shot_percussive_sounds/5,155,one_shot_percussive_sounds/5/439852.wav,/mnt/data/perc_system_run/neutral_extract/g05/neutral_g05_00155.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,single_hit,,,0.72,,,PASS,
1,1,one_shot_percussive_sounds/1,156,one_shot_percussive_sounds/1/15585.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00156.wav,Drums/Percussion/Bells and Metallic Percussion/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.73,,,PASS,
2,1,one_shot_percussive_sounds/1,157,one_shot_percussive_sounds/1/15586.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00157.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.72,,,PASS,
3,1,one_shot_percussive_sounds/1,158,one_shot_percussive_sounds/1/15587.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00158.wav,Drums/Percussion/Generic Percussion/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,pitched_repetition_phrase,,,0.76,,,PASS,
4,1,one_shot_percussive_sounds/1,159,one_shot_percussive_sounds/1/15590.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00159.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.7,,,PASS,
5,1,one_shot_percussive_sounds/1,160,one_shot_percussive_sounds/1/15591.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00160.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,hit_with_tail,,,0.7,,,PASS,
6,2,one_shot_percussive_sounds/2,156,one_shot_percussive_sounds/2/105528.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00156.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.73,,,PASS,
7,2,one_shot_percussive_sounds/2,157,one_shot_percussive_sounds/2/105531.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00157.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.7,,,PASS,
8,2,one_shot_percussive_sounds/2,158,one_shot_percussive_sounds/2/105534.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00158.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.72,,,PASS,
9,2,one_shot_percussive_sounds/2,159,one_shot_percussive_sounds/2/105536.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00159.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,solo_phrase,,,0.71,,,PASS,
10,2,one_shot_percussive_sounds/2,160,one_shot_percussive_sounds/2/105537.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00160.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.71,,,PASS,
11,3,one_shot_percussive_sounds/3,156,one_shot_percussive_sounds/3/143736.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00156.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.72,,,PASS,
12,3,one_shot_percussive_sounds/3,157,one_shot_percussive_sounds/3/143737.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00157.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.74,,,PASS,
13,3,one_shot_percussive_sounds/3,158,one_shot_percussive_sounds/3/143738.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00158.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.72,,,PASS,
14,3,one_shot_percussive_sounds/3,159,one_shot_percussive_sounds/3/143739.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00159.wav,Drums/Toms/Floor Tom/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,hit_with_tail,,,0.75,,,PASS,
15,3,one_shot_percussive_sounds/3,160,one_shot_percussive_sounds/3/143740.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00160.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.7,,,PASS,
16,4,one_shot_percussive_sounds/4,156,one_shot_percussive_sounds/4/208259.wav,/mnt/data/perc_system_run/neutral_extract/g04/neutral_g04_00156.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_decisive_struck_percussion_parent_invariant,,hit_with_tail,,,0.68,,,PASS,
17,4,one_shot_percussive_sounds/4,157,one_shot_percussive_sounds/4/208260.wav,/mnt/data/perc_system_run/neutral_extract/g04/neutral_g04_00157.wav,Drums/World Percussion/Latin Percussion/Conga/One Shots,Drums,True,False,False,final_weak_review_measured_drums_release,,hit_with_tail,,,0.69,,,PASS,
18,4,one_shot_percussive_sounds/4,158,one_shot_percussive_sounds/4/208261.wav,/mnt/data/perc_system_run/neutral_extract/g04/neutral_g04_00158.wav,Drums/World Percussion/Latin Percussion/Conga/One Shots,Drums,True,False,False,final_weak_review_measured_drums_release,,hit_with_tail,,,0.7,,,PASS,
